City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Nuuk,GL,2022-03-30 13:10:24,64.1835,-51.7216,25.41,93,100,16.11,light snow
60,Auki,SB,2022-03-30 13:10:57,-8.7676,160.7034,78.53,84,100,2.8,overcast clouds
61,Damietta,EG,2022-03-30 13:10:57,31.4165,31.8133,66.52,53,84,10.78,broken clouds
62,Collie,AU,2022-03-30 13:10:58,-33.3667,116.15,64.81,82,65,11.14,broken clouds
63,Boueni,YT,2022-03-30 13:10:58,-12.9025,45.0761,85.98,70,32,1.25,light rain
64,Tsumeb,NA,2022-03-30 13:10:59,-19.2333,17.7167,80.56,44,100,6.22,overcast clouds
65,Dhidhdhoo,MV,2022-03-30 13:10:59,6.8833,73.1,84.38,65,0,0.94,clear sky
66,Sovetskiy,RU,2022-03-30 13:10:59,61.3614,63.5842,25.83,89,100,4.56,light snow
67,Castro,BR,2022-03-30 13:11:00,-24.7911,-50.0119,76.84,63,98,9.46,overcast clouds
68,Larsnes,NO,2022-03-30 13:11:00,62.2028,5.5773,41.59,62,51,7.54,broken clouds
69,Yellowknife,CA,2022-03-30 13:06:55,62.456,-114.3525,-3.59,87,41,10.0,scattered clouds
70,Brae,GB,2022-03-30 13:11:01,60.3964,-1.353,39.79,62,100,20.47,overcast clouds
71,Eureka,US,2022-03-30 13:06:26,40.8021,-124.1637,49.75,79,100,7.0,overcast clouds
72,Moctezuma,MX,2022-03-30 13:11:01,29.8,-109.6667,47.55,67,0,1.77,clear sky
73,Hilo,US,2022-03-30 13:11:01,19.7297,-155.09,71.33,81,40,4.61,scattered clouds
74,Comodoro Rivadavia,AR,2022-03-30 13:11:02,-45.8667,-67.5,51.66,32,0,10.36,clear sky
75,Hobart,AU,2022-03-30 13:10:12,-42.8794,147.3294,53.46,75,75,12.66,broken clouds
76,Ushuaia,AR,2022-03-30 13:11:04,-54.8,-68.3,44.22,70,75,11.5,broken clouds
77,Atagay,RU,2022-03-30 13:11:04,55.1033,99.3875,25.83,97,84,4.25,broken clouds
78,Monrovia,LR,2022-03-30 13:09:28,6.3005,-10.7969,91.17,74,94,7.05,overcast clouds
79,Ngunguru,NZ,2022-03-30 13:11:05,-35.6167,174.5,64.15,83,96,4.38,overcast clouds
80,New Norfolk,AU,2022-03-30 13:11:05,-42.7826,147.0587,53.1,63,20,4.0,few clouds
